顧客ID,生年月日,性別,年齢,年齢層
C00008518,1993-08-17,男,32,30代
C00017251,1983-03-10,男,42,40代
C00002119,1984-08-13,女,41,40代
C00018534,1991-02-13,男,34,30代
C00010966,2009-04-02,男,16,10代未満
C00008353,1984-02-28,男,41,40代
C00001494,1980-01-25,女,45,40代
C00018098,1983-06-03,女,42,40代
C00012160,2007-09-07,女,18,10代未満
C00001279,2007-10-10,女,17,10代未満
C00017151,1977-04-16,女,48,40代
C00004087,1984-04-23,男,41,40代
C00010110,1993-03-05,男,32,30代
C00014012,1991-11-19,女,33,30代
C00001005,1994-08-01,女,31,30代
C00003198,2007-09-04,男,18,10代未満
C00003814,1988-02-06,その他・不明,37,30代
C00000418,1993-05-18,男,32,30代
C00004629,1988-06-01,女,37,30代
C00006412,1994-11-11,男,30,30代
C00002510,1989-04-22,男,36,30代
C00008516,1993-07-27,男,32,30代
C00009321,1999-06-01,女,26,20代
C00007417,2001-04-15,女,24,20代
C00017415,1983-06-24,女,42,40代
C00004309,1990-08-04,女,35,30代
C00015931,2010-10-18,男,14,10代未満
C00010754,1987-06-05,女,38,30代
C00012905,2007-03-17,男,18,10代未満
C00015096,1990-09-29,女,34,30代
C00011794,2008-10-01,女,16,10代未満
C00009243,2004-09-29,男,20,20代
C00004879,1980-04-15,男,45,40代
C00007610,1993-12-18,女,31,30代
C00004532,1994-07-01,男,31,30代
C00015413,1991-04-15,女,34,30代
C00014331,1975-03-27,女,50,50代
C00005105,2011-02-19,男,14,10代未満
C00013234,2011-04-30,男,14,10代未満
C00018194,2009-04-20,男,16,10代未満
C00014750,1992-05-31,女,33,30代
C00010899,1999-07-30,男,26,20代
C00011180,1986-05-20,女,39,30代
C00004445,2000-04-29,男,25,20代
C00013138,1993-07-04,女,32,30代
C00005266,2010-11-27,女,14,10代未満
C00009641,1989-04-25,女,36,30代
C00017211,1995-07-25,女,30,30代
C00005110,1980-04-10,男,45,40代
C00012529,1960-11-05,女,64,60代以上
C00002464,1979-12-11,男,45,40代
C00012547,1995-01-26,男,30,30代
C00008783,1991-05-05,男,34,30代
C00007165,1985-06-07,男,40,40代
C00012812,1958-08-01,男,67,60代以上
C00018174,1995-03-21,女,30,30代
C00009623,1983-12-05,女,41,40代
C00009623,1983-12-05,女,41,40代
C00017330,1951-07-17,女,74,60代以上
C00007057,1992-03-28,男,33,30代
C00018104,1968-07-08,女,57,50代
C00018677,1990-12-23,女,34,30代
C00010720,1976-07-31,男,49,40代
C00015947,1982-11-19,男,42,40代
C00012710,1996-06-20,女,29,20代
C00000249,1979-12-16,男,45,40代
C00017047,1969-10-11,女,55,50代
C00005510,2006-09-01,その他・不明,19,10代未満
C00009623,1983-12-05,女,41,40代
C00003034,1999-11-17,男,25,20代
C00012186,1992-05-31,女,33,30代
C00009328,1999-09-22,女,25,20代
C00006113,1974-09-09,男,51,50代
C00001103,1995-01-07,女,30,30代
C00000702,1992-10-16,女,32,30代
C00008096,1995-06-14,女,30,30代
C00013568,1975-09-24,女,49,40代
C00011613,1992-11-04,男,32,30代
C00005362,1995-09-04,男,30,30代
C00018942,1986-05-05,男,39,30代
C00007133,1994-12-04,男,30,30代
C00013767,1986-04-27,女,39,30代
C00018195,2010-11-17,男,14,10代未満
C00016181,1972-12-05,男,52,50代
C00013939,1991-01-19,男,34,30代
C00017986,1999-06-26,女,26,20代
C00010185,1996-02-18,女,29,20代
C00018883,1995-04-09,男,30,30代
C00008656,1964-09-05,女,61,60代以上
C00001142,1985-11-12,男,39,30代
C00007400,1989-06-08,女,36,30代
C00007867,1975-03-14,女,50,50代
C00016560,1974-06-13,男,51,50代
C00013423,2001-04-03,女,24,20代
C00008849,1999-09-19,女,25,20代
C00015979,1971-10-20,男,53,50代
C00002839,1988-08-09,女,37,30代
C00004245,2000-08-28,男,25,20代
C00009460,1948-10-25,女,76,60代以上
C00000985,1991-02-03,女,34,30代
C00005678,1973-06-17,男,52,50代
C00003814,1988-02-06,その他・不明,37,30代
C00017685,1988-02-19,男,37,30代
C00006918,1976-08-23,女,49,40代
C00007041,1949-08-26,女,76,60代以上
C00017432,1992-08-23,女,33,30代
C00005584,1983-08-29,男,42,40代
C00003167,1999-10-13,女,25,20代
C00005938,2007-06-30,その他・不明,18,10代未満
C00008724,1992-11-18,女,32,30代
C00002579,1944-11-21,男,80,60代以上
C00010453,2000-07-01,男,25,20代
C00013923,1990-09-17,女,35,30代
C00011167,1962-01-06,女,63,60代以上
C00000607,1989-05-28,その他・不明,36,30代
C00018611,1980-09-17,女,45,40代
C00002589,2000-08-11,男,25,20代
C00002885,2000-11-04,男,24,20代
C00010143,1983-07-05,女,42,40代
C00006869,1975-02-05,女,50,50代
C00004221,1979-03-02,男,46,40代
C00013975,1965-04-01,男,60,60代以上
C00000366,1999-07-30,その他・不明,26,20代
C00006767,1990-10-03,男,34,30代
C00004697,1994-10-11,女,30,30代
C00015036,1981-09-29,男,43,40代
C00010976,1981-01-09,男,44,40代
C00013847,1980-05-22,男,45,40代
C00008340,1979-09-26,女,45,40代
C00008831,2001-10-24,女,23,20代
C00000384,1994-06-23,女,31,30代
C00014876,2000-09-26,女,24,20代
C00015895,1970-02-08,男,55,50代
C00002436,1942-12-26,女,82,60代以上
C00009134,1980-07-05,女,45,40代
C00009538,1992-07-10,女,33,30代
C00012958,1993-04-05,女,32,30代
C00013057,1987-10-27,男,37,30代
C00008991,1984-05-06,女,41,40代
C00007335,1945-09-27,女,79,60代以上
C00012907,1998-04-26,女,27,20代
C00013970,1961-07-27,女,64,60代以上
C00010500,1984-11-06,男,40,40代
C00015418,1979-05-17,男,46,40代
C00005375,1990-09-26,男,34,30代
C00004590,1999-01-15,女,26,20代
C00014406,1982-06-22,女,43,40代
C00004892,2009-12-07,女,15,10代未満
C00004632,2008-12-30,女,16,10代未満
C00012636,2006-07-08,女,19,10代未満
C00007174,1985-09-10,男,40,40代
C00016283,2000-10-14,女,24,20代
C00008490,1957-07-26,女,68,60代以上
C00001357,1982-10-18,女,42,40代
C00014904,1970-09-03,男,55,50代
C00010708,1960-10-01,男,64,60代以上
C00009693,1988-08-21,女,37,30代
C00010573,1964-11-11,男,60,60代以上
C00012105,1984-06-10,女,41,40代
C00011045,1986-07-24,男,39,30代
C00015607,1984-07-10,男,41,40代
C00010853,1994-03-27,男,31,30代
C00006948,1990-06-08,男,35,30代
C00008353,1984-02-28,男,41,40代
C00013138,1993-07-04,女,32,30代
C00018338,1995-05-24,男,30,30代
C00018527,1987-04-30,女,38,30代
C00005486,1989-06-27,女,36,30代
C00013276,1990-07-10,女,35,30代
C00018015,1988-07-22,男,37,30代
C00013453,2005-03-18,女,20,20代
C00010963,1991-05-06,女,34,30代
C00001349,1992-03-27,男,33,30代
C00006968,2004-10-20,女,20,20代
C00017557,1982-05-09,男,43,40代
C00016239,1953-06-21,女,72,60代以上
C00016039,1966-08-15,女,59,50代
C00010322,1982-07-21,女,43,40代
C00010888,1983-07-06,女,42,40代
C00001421,1983-01-23,男,42,40代
C00007023,1977-12-22,男,47,40代
C00009969,1984-05-26,男,41,40代
C00008043,1992-04-21,男,33,30代
C00003193,1986-05-02,男,39,30代
C00006092,1996-09-18,男,29,20代
C00006139,2002-12-19,女,22,20代
C00018173,2000-03-27,女,25,20代
C00012392,1995-11-03,その他・不明,29,20代
C00005908,1965-08-01,女,60,60代以上
C00008043,1992-04-21,男,33,30代
C00000038,1991-05-12,男,34,30代
C00015724,1991-01-26,女,34,30代
C00010626,1970-12-12,男,54,50代
C00013035,1995-12-24,その他・不明,29,20代
C00015837,1992-09-30,男,32,30代
C00017391,1983-08-15,女,42,40代
C00001219,1992-07-13,女,33,30代
C00013630,1976-01-05,男,49,40代
C00000038,1991-05-12,男,34,30代
C00014808,1999-03-08,男,26,20代
C00015839,1977-01-19,男,48,40代
C00015030,1984-08-21,女,41,40代
C00010208,2000-11-20,女,24,20代
C00008291,1981-08-13,女,44,40代
C00013462,1980-03-15,女,45,40代
C00018415,1989-02-18,女,36,30代
C00012826,1991-04-07,女,34,30代
C00007666,1985-08-01,男,40,40代
C00015974,1982-05-19,男,43,40代
C00004766,1976-01-21,女,49,40代
C00013827,1984-01-07,女,41,40代
C00001763,1987-02-06,男,38,30代
C00006712,2000-04-08,男,25,20代
C00005702,1973-12-11,女,51,50代
C00007275,1952-07-24,男,73,60代以上
C00017514,1984-03-10,女,41,40代
C00008202,1988-09-18,女,37,30代
C00017552,1947-11-05,その他・不明,77,60代以上
C00013139,1978-10-11,女,46,40代
C00017902,1976-09-04,女,49,40代
C00014607,2001-06-01,男,24,20代
C00016968,1996-12-22,男,28,20代
C00001316,1985-10-15,男,39,30代
C00016649,1984-01-18,女,41,40代
C00001484,1981-05-15,女,44,40代
C00004919,1987-06-25,女,38,30代
C00012661,2001-01-23,男,24,20代
C00001484,1981-05-15,女,44,40代
C00009206,1986-05-09,女,39,30代
C00006498,1955-06-06,女,70,60代以上
C00018984,1999-11-07,女,25,20代
C00010996,1993-04-14,男,32,30代
C00013153,1995-07-09,その他・不明,30,30代
C00005258,1984-07-01,男,41,40代
C00002156,1989-02-09,男,36,30代
C00007565,2000-07-12,女,25,20代
C00015131,1980-04-15,女,45,40代
C00009058,1989-01-09,男,36,30代
C00005002,1988-01-30,女,37,30代
C00018722,1985-01-26,女,40,40代
C00009606,1983-07-09,女,42,40代
C00015325,1986-03-07,男,39,30代
C00003200,1984-06-29,男,41,40代
C00006283,1978-03-24,女,47,40代
C00010009,2001-03-20,女,24,20代
C00013735,1988-12-31,その他・不明,36,30代
C00007921,1977-09-14,女,48,40代
C00017415,1983-06-24,女,42,40代
C00010169,1985-02-21,女,40,40代
C00002259,2004-02-21,女,21,20代
C00016844,1996-09-16,その他・不明,29,20代
C00005682,1990-09-06,男,35,30代
C00006420,1949-05-12,女,76,60代以上
C00011696,1993-11-29,女,31,30代
C00003710,1981-02-01,女,44,40代
C00002988,1988-12-19,男,36,30代
C00000300,1999-06-18,女,26,20代
C00011754,1988-02-28,女,37,30代
C00002428,2001-05-24,女,24,20代
C00014751,1986-09-11,女,39,30代
C00001709,1997-05-06,女,28,20代
C00018696,1979-01-19,男,46,40代
C00007938,1993-02-28,女,32,30代
C00007969,1988-09-13,男,37,30代
C00016098,1992-02-29,女,33,30代
C00004133,1979-10-20,女,45,40代
C00008516,1993-07-27,男,32,30代
C00004872,2003-08-05,男,22,20代
C00004855,2006-02-16,女,19,10代未満
C00017429,1992-10-26,男,32,30代
C00013007,2004-08-29,女,21,20代
C00002705,2002-04-28,男,23,20代
C00017429,1992-10-26,男,32,30代
C00001123,1985-11-23,女,39,30代
C00015515,1997-02-27,女,28,20代
C00007470,1999-06-03,女,26,20代
C00011504,1984-02-28,男,41,40代
C00002904,1964-09-23,男,60,60代以上
C00011900,1978-12-17,男,46,40代
C00006328,1993-09-22,その他・不明,31,30代
C00002830,1975-01-27,女,50,50代
C00006156,1988-08-13,男,37,30代
C00009625,2004-05-19,その他・不明,21,20代
C00012604,1978-03-17,男,47,40代
C00009819,1987-04-22,男,38,30代
C00018084,1983-10-27,女,41,40代
C00015905,2002-03-09,その他・不明,23,20代
C00013227,2009-04-05,男,16,10代未満
C00016250,1988-08-19,女,37,30代
C00008423,2002-05-26,女,23,20代
C00007245,1991-07-08,男,34,30代
C00013222,1975-10-11,女,49,40代
C00010083,1985-01-16,男,40,40代
C00014122,1996-01-21,その他・不明,29,20代
C00017470,1969-01-12,女,56,50代
C00018638,1975-02-12,男,50,50代
C00012002,1985-05-16,男,40,40代
C00006357,1983-01-27,女,42,40代
C00001649,2009-03-19,男,16,10代未満
C00016700,1973-06-12,女,52,50代
C00016733,1989-07-14,男,36,30代
C00005363,1962-08-19,女,63,60代以上
C00011613,1992-11-04,男,32,30代
C00017100,2008-09-05,男,17,10代未満
C00018462,1998-06-03,女,27,20代
C00007855,1967-07-20,男,58,50代
C00018350,2007-02-10,女,18,10代未満
C00016570,1983-08-27,女,42,40代
C00003062,1988-04-18,男,37,30代
C00014885,1946-10-02,女,78,60代以上
C00009752,2010-03-19,女,15,10代未満
C00016799,2001-02-21,女,24,20代
C00003010,1981-06-28,女,44,40代
C00003972,2006-04-19,男,19,10代未満
C00018874,1978-12-17,女,46,40代
C00003936,1996-09-10,女,29,20代
C00003017,1990-08-23,男,35,30代
C00016456,1984-11-28,女,40,40代
C00016559,2009-05-19,女,16,10代未満
C00018109,1992-11-22,女,32,30代
C00002835,1988-03-23,女,37,30代
C00003763,1984-05-20,女,41,40代
C00017771,2006-09-03,女,19,10代未満
C00015058,1984-12-09,女,40,40代
C00005378,2000-04-18,女,25,20代
C00006980,2000-12-02,女,24,20代
C00003974,1996-01-23,女,29,20代
C00017458,1975-05-06,女,50,50代
C00002030,2006-05-29,男,19,10代未満
C00009346,1976-07-11,女,49,40代
C00004573,1994-04-01,女,31,30代
C00001694,1961-02-19,男,64,60代以上
C00006050,1992-04-13,男,33,30代
C00010109,2002-04-26,女,23,20代
C00009601,1986-06-08,女,39,30代
C00004987,2001-02-23,男,24,20代
C00016517,1988-10-20,男,36,30代
C00015628,1981-07-22,女,44,40代
C00010981,1983-10-30,女,41,40代
C00009737,1976-02-07,男,49,40代
C00006075,1986-08-01,男,39,30代
C00008136,1983-04-07,男,42,40代
C00010285,1989-09-30,女,35,30代
C00010395,1973-12-01,男,51,50代
C00009353,2002-11-02,男,22,20代
C00005175,1957-12-07,男,67,60代以上
C00004112,1998-10-28,女,26,20代
C00009994,1981-02-23,女,44,40代
C00010800,1996-12-25,女,28,20代
C00004030,1988-05-19,女,37,30代
C00015981,1975-05-08,女,50,50代
C00008713,1975-08-13,女,50,50代
C00008283,1998-04-29,男,27,20代
C00011273,1992-11-20,女,32,30代
C00010023,1984-05-22,女,41,40代
C00006749,1987-07-17,男,38,30代
C00017151,1977-04-16,女,48,40代
C00015633,1988-02-19,男,37,30代
C00014514,2005-11-02,男,19,10代未満
C00010478,1975-08-17,男,50,50代
C00004099,1974-02-05,女,51,50代
C00001865,2011-02-04,男,14,10代未満
C00014228,1973-08-03,男,52,50代
C00014772,1995-08-18,男,30,30代
C00005698,2000-10-23,女,24,20代
C00017663,1978-08-02,女,47,40代
C00005968,1975-01-14,女,50,50代
C00004573,1994-04-01,女,31,30代
C00008942,1975-01-27,男,50,50代
C00014194,1983-09-01,女,42,40代
C00003576,1978-05-15,その他・不明,47,40代
C00000054,1989-04-12,女,36,30代
C00016895,1996-05-21,その他・不明,29,20代
C00008610,1999-10-13,女,25,20代
C00017412,1988-08-13,男,37,30代
C00015637,2006-07-21,男,19,10代未満
C00013607,2005-01-24,女,20,20代
C00009268,1998-06-21,女,27,20代
C00008633,1995-08-26,女,30,30代
C00015730,2002-12-12,男,22,20代
C00010361,1977-05-24,男,48,40代
C00005708,1992-08-19,男,33,30代
C00010639,2005-07-12,女,20,20代
C00007502,1983-07-07,女,42,40代
C00015888,1983-06-19,男,42,40代
C00018110,1990-07-04,男,35,30代
C00008524,2001-09-10,男,24,20代
C00003233,1987-02-22,女,38,30代
C00003873,1992-04-14,女,33,30代
C00017208,2007-09-01,その他・不明,18,10代未満
C00015373,1984-05-15,女,41,40代
C00001379,1999-05-16,女,26,20代
C00002373,1990-09-27,女,34,30代
C00007860,1998-07-21,男,27,20代
C00010425,1986-10-03,女,38,30代
C00012540,1992-05-17,男,33,30代
C00005275,1994-11-21,女,30,30代
C00011632,1991-10-30,女,33,30代
C00004106,2000-03-07,男,25,20代
C00001260,1964-09-25,女,60,60代以上
C00008009,1971-10-14,女,53,50代
C00011716,1988-03-26,女,37,30代
C00006737,1986-10-16,男,38,30代
C00016069,1992-09-18,その他・不明,33,30代
C00003064,1988-07-14,女,37,30代
C00011088,1979-05-25,男,46,40代
C00010700,1956-11-13,男,68,60代以上
C00016000,1975-11-28,女,49,40代
C00008676,1993-08-31,男,32,30代
C00008026,1982-10-06,その他・不明,42,40代
C00004740,1980-11-23,女,44,40代
C00013402,1971-02-07,男,54,50代
C00008712,1993-02-11,男,32,30代
C00018738,2005-07-20,女,20,20代
C00014307,1979-07-09,男,46,40代
C00011107,1952-08-07,その他・不明,73,60代以上
C00007988,1975-01-18,女,50,50代
C00012346,1993-06-13,女,32,30代
C00009523,1976-06-05,男,49,40代
C00004855,2006-02-16,女,19,10代未満
C00004855,2006-02-16,女,19,10代未満
C00013171,1986-03-27,女,39,30代
C00001865,2011-02-04,男,14,10代未満
C00015308,1956-08-02,女,69,60代以上
C00001638,1995-07-02,男,30,30代
C00004609,1989-08-12,女,36,30代
C00018703,1987-10-06,男,37,30代
C00011170,1991-12-02,男,33,30代
C00011067,1988-08-31,その他・不明,37,30代
C00001023,1971-10-08,女,53,50代
C00003697,1984-12-06,女,40,40代
C00003525,2002-01-27,女,23,20代
C00013991,1984-06-23,女,41,40代
C00009256,1980-01-14,女,45,40代
C00009737,1976-02-07,男,49,40代
C00018759,1972-02-16,女,53,50代
C00000749,1992-03-04,女,33,30代
C00016797,1974-07-04,男,51,50代
C00016089,1992-03-23,男,33,30代
C00007216,2000-08-17,男,25,20代
C00000306,1984-09-17,女,41,40代
C00004959,1991-11-16,女,33,30代
C00002275,1994-05-08,女,31,30代
C00006086,1980-10-05,女,44,40代
C00016254,1986-04-13,女,39,30代
C00016614,1992-12-10,女,32,30代
C00003391,1981-11-20,男,43,40代
C00017213,1996-01-02,女,29,20代
C00004969,1997-08-18,女,28,20代
C00018757,2006-06-17,女,19,10代未満
C00012756,1984-02-05,女,41,40代
C00001067,1971-10-09,女,53,50代
C00004629,1988-06-01,女,37,30代
C00006383,1975-05-15,女,50,50代
C00001373,1956-01-26,女,69,60代以上
C00014898,2000-06-02,女,25,20代
C00007521,1985-03-18,女,40,40代
C00016789,1960-10-01,女,64,60代以上
C00005409,2005-01-26,女,20,20代
C00008451,1981-10-20,女,43,40代
C00009704,1973-07-04,女,52,50代
C00006960,2005-08-09,女,20,20代
C00008011,1990-11-26,女,34,30代
C00007763,1993-01-16,女,32,30代
C00011414,1989-05-14,女,36,30代
C00010425,1986-10-03,女,38,30代
C00016242,1977-05-08,女,48,40代
C00006106,1987-07-08,女,38,30代
C00004046,1978-12-06,女,46,40代
C00007833,1992-01-20,女,33,30代
C00011994,1996-01-04,男,29,20代
C00006855,1986-05-17,女,39,30代
C00005651,1959-12-21,女,65,60代以上
C00006163,2007-08-31,女,18,10代未満
C00007067,1984-08-23,男,41,40代
C00015637,2006-07-21,男,19,10代未満
C00012247,2007-08-31,女,18,10代未満
C00003573,1977-11-29,男,47,40代
C00005602,1996-01-19,女,29,20代
C00013892,1998-07-20,女,27,20代
C00009310,1986-06-05,女,39,30代
C00010424,1979-01-15,女,46,40代
C00004511,2008-06-20,女,17,10代未満
C00005677,2002-05-16,男,23,20代
C00016636,1983-06-11,女,42,40代
C00017906,1981-02-10,女,44,40代
C00012415,1995-04-12,男,30,30代
C00015467,1991-09-05,男,34,30代
C00003281,1987-03-28,女,38,30代
C00008692,2000-08-02,男,25,20代
C00000766,1974-12-13,女,50,50代
C00008597,1997-01-18,男,28,20代
C00017286,1981-02-11,女,44,40代
C00018863,1985-07-26,女,40,40代
C00003753,1999-05-27,男,26,20代
C00008016,1998-06-13,女,27,20代
C00005263,2001-11-05,男,23,20代
C00009855,1982-02-21,その他・不明,43,40代
C00018614,1990-07-17,男,35,30代
C00017882,1999-03-07,女,26,20代
C00006092,1996-09-18,男,29,20代
C00008068,1969-08-20,男,56,50代
C00012416,1987-02-05,女,38,30代
C00012116,1985-08-04,男,40,40代
C00013277,2002-03-12,女,23,20代
C00017246,1981-01-23,女,44,40代
C00016538,1990-12-21,女,34,30代
C00010134,1989-01-29,女,36,30代
C00008200,1989-09-21,女,35,30代
C00009474,1990-09-16,男,35,30代
C00017296,1997-02-06,女,28,20代
C00003964,1998-12-08,女,26,20代
C00018773,1998-09-30,男,26,20代
C00018919,1988-05-29,男,37,30代
C00007363,1990-04-21,女,35,30代
C00005080,1943-12-09,男,81,60代以上
C00016492,1976-05-16,男,49,40代
C00008586,1976-08-01,女,49,40代
C00010954,1972-12-19,女,52,50代
C00017414,1987-01-26,女,38,30代
C00007104,1997-06-08,女,28,20代
C00017585,1999-06-08,女,26,20代
C00004794,1995-08-07,男,30,30代
C00006510,1945-02-05,男,80,60代以上
C00017369,2001-09-03,女,24,20代
C00018128,2002-06-23,女,23,20代
C00017138,1992-06-12,女,33,30代
C00015254,1971-08-01,女,54,50代
C00007892,1992-09-17,男,33,30代
C00002188,2003-01-04,女,22,20代
C00012199,2004-11-09,男,20,20代
C00016360,1981-07-03,男,44,40代
C00006586,1961-11-27,女,63,60代以上
C00010038,1986-11-11,男,38,30代
C00016844,1996-09-16,その他・不明,29,20代
C00005824,1985-11-11,女,39,30代
C00012031,1990-09-22,女,34,30代
C00013275,1997-07-31,女,28,20代
C00016250,1988-08-19,女,37,30代
C00006377,1975-03-04,女,50,50代
C00014796,1996-10-18,女,28,20代
C00011143,1975-09-04,女,50,50代
C00012991,1983-06-06,女,42,40代
C00005881,2000-12-11,男,24,20代
C00017152,2002-01-12,男,23,20代
C00017160,2001-06-05,女,24,20代
C00012322,2000-10-17,女,24,20代
C00017023,1976-04-17,男,49,40代
C00003594,1984-01-25,男,41,40代
C00014618,2000-08-16,女,25,20代
